iter	Passed	Remaining
868	16996	2562
869	17014	2542
870	17032	2522
871	17053	2503
872	17071	2483
873	17091	2463
874	17107	2443
875	17127	2424
876	17145	2404
877	17162	2384
878	17180	2364
879	17198	2345
880	17217	2325
881	17235	2305
882	17254	2286
883	17274	2266
884	17294	2247
885	17313	2227
886	17332	2208
887	17350	2188
888	17369	2168
889	17387	2149
890	17405	2129
891	17422	2109
892	17440	2089
893	17458	2069
894	17476	2050
895	17496	2030
896	17514	2011
897	17532	1991
898	17551	1971
899	17569	1952
900	17588	1932
901	17606	1912
902	17624	1893
903	17642	1873
904	17660	1853
905	17679	1834
906	17698	1814
907	17716	1795
908	17734	1775
909	17753	1755
910	17772	1736
911	17789	1716
912	17807	1696
913	17825	1677
914	17842	1657
915	17860	1637
916	17879	1618
917	17899	1598
918	17917	1579
919	17936	1559
920	17954	1540
921	17971	1520
922	17989	1500
923	18006	1481
924	18025	1461
925	18042	1441
926	18059	1422
927	18079	1402
928	18099	1383
929	18118	1363
930	18135	1344
931	18153	1324
932	18172	1304
933	18191	1285
934	18208	1265
935	18225	1246
936	18243	1226
937	18262	1207
938	18280	1187
939	18300	1168
940	18319	1148
941	18337	1129
942	18355	1109
943	18372	1089
944	18390	1070
945	18409	1050
946	18426	1031
947	18445	1011
948	18463	992
949	18482	972
950	18501	953
951	18521	933
952	18540	914
953	18558	894
954	18575	875
955	18593	855
956	18611	836
957	18629	816
958	18647	797
959	18665	777
960	18683	758
961	18701	738
962	18719	719
963	18738	699
964	18757	680
965	18774	660
966	18791	641
967	18808	621
968	18826	602
969	18844	582
970	18861	563
971	18879	543
972	18897	524
973	18915	504
974	18935	485
975	18953	466
976	18971	446
977	18989	427
978	19008	407
979	19024	388
980	19042	368
981	19060	349
982	19079	329
983	19096	310
984	19114	291
985	19134	271
986	19153	252
987	19171	232
988	19188	213
989	19207	194
990	19226	174
991	19243	155
992	19261	135
993	19279	116
994	19298	96
995	19315	77
996	19334	58
997	19352	38
998	19373	19
999	19390	0
